Acid Arrow	Flecha ácida
Acid Splash	Salpicadura ácida
Aid	Auxilio
Air Bubble	Burbuja de aire
Alarm	Alarma
Alter Self	Alterar el propio aspecto
Animal Friendship	Encantar animal
Animal Messenger	Mensajero animal
Animal Shapes	Aspectos animales
Animate Dead	Animar a los muertos
Animate Objects	Animar objetos
Antilife Shell	Caparazón antivida
Antimagic Field	Campo antimagia
Antipathy/Sympathy	Antipatía/simpatía
Arcane Eye	Ojo arcano
Arcane Hand	Mano arcana
Arcane Lock	Cerradura arcana
Arcane Sword	Espada arcana
Arcanist’s Magic Aura	Aura mágica del arcanista
Astral Projection	Proyección astral
Augury	Augurio
Aura of Life	Aura de vida
Awaken	Despertar
Bane	Desánimo
Banishment	Destierro
Barkskin	Piel robliza
Beacon of Hope	Señal de esperanza
Befuddlement	Ofuscación
Bestow Curse	Imponer maldición
Black Tentacles	Tentáculos negros
Blade Barrier	Barrera de cuchillas
Bless	Coraje
Blight	Marchitar
Blindness/Deafness	Sordera/ceguera
Blink	Desplazamiento
Blur	Contorno borroso
Burning Hands	Manos ardientes
Call Lightning	Llamar al relámpago
Calm Emotions	Calmar emociones
Chain Lightning	Relámpago en cadena
Charm Monster	Hechizar monstruo
Charm Person	Hechizar persona
Chill Touch	Toque helado
Chromatic Orb	Orbe cromático
Circle of Death	Círculo de muerte
Clairvoyance	Clarividencia
Clone	Clon
Cloudkill	Nube aniquiladora
Color Spray	Rociada de color
Command	Orden imperiosa
Commune	Comunión
Commune with Nature	Comunión con la naturaleza
Comprehend Languages	Entender idiomas
Compulsion	Compulsión
Cone of Cold	Cono de frío
Confusion	Confusión
Conjure Animals	Conjurar animales
Conjure Celestial	Conjurar celestial
Conjure Elemental	Conjurar elemental
Conjure Fey	Conjurar feérico
Conjure Minor Elementals	Conjurar elementales menores
Conjure Woodland Beings	Conjurar seres del bosque
Contact Other Plane	Contactar con otro plano
Contagion	Contagio
Contingency	Contingencia
Continual Flame	Llama permanente
Control Water	Controlar agua
Control Weather	Controlar el clima
Counterspell	Contrahechizo
Create Food and Water	Crear comida y agua
Create or Destroy Water	Crear o destruir agua
Create Undead	Crear muerto viviente
Creation	Creación
Cure Wounds	Curar heridas
Dancing Lights	Luces danzantes
Darkness	Oscuridad
Darkvision	Visión en la oscuridad
Daylight	Luz del día
Death Ward	Guarda contra la muerte
Delayed Blast Fireball	Bola de fuego de explosión retardada
Demiplane	Semiplano
Detect Evil and Good	Detectar el bien y el mal
Detect Magic	Detectar magia
Detect Poison and Disease	Detectar venenos y enfermedades
Detect Thoughts	Detectar pensamientos
Dimension Door	Puerta dimensional
Disguise Self	Disfrazarse
Disintegrate	Desintegrar
Dispel Evil and Good	Disipar el bien y el mal
Dispel Magic	Disipar magia
Dissonant Whispers	Susurros discordantes
Divination	Adivinación
Divine Favor	Arma estelar
Divine Smite	Golpe radiante
Divine Word	Palabra divina
Dominate Beast	Dominar bestia
Dominate Monster	Dominar monstruo
Dominate Person	Dominar persona
Dragon’s Breath	Aliento de dragón
Dream	Ensueño
Druidcraft	Saber druídico
Earthquake	Terremoto
Eldritch Blast	Descarga sobrenatural
Elementalism	Elementalismo
Enhance Ability	Potenciar característica
Enlarge/Reduce	Agrandar/reducir
Ensnaring Strike	Golpe apresador
Entangle	Enmarañar
Enthrall	Embelesar
Etherealness	Excursión etérea
Expeditious Retreat	Retirada expeditiva
Eyebite	Mal de ojo
Fabricate	Fabricar
Faerie Fire	Fuego feérico
Faithful Hound	Mastín fiel
False Life	Falsa vida
Fear	Terror
Feather Fall	Caída de pluma
Find Familiar	Encontrar familiar
Find Steed	Hallar corcel
Find the Path	Encontrar el camino
Find Traps	Detectar trampas
Finger of Death	Dedo de la muerte
Fireball	Bola de fuego
Fire Bolt	Descarga de fuego
Fire Shield	Escudo de fuego
Fire Storm	Tormenta de fuego
Flame Blade	Hoja de fuego
Flame Strike	Golpe flamígero
Flaming Sphere	Esfera de llamas
Flesh to Stone	De la carne a la piedra
Floating Disk	Disco flotante
Fly	Volar
Fog Cloud	Nube de oscurecimiento
Forbiddance	Prohibición
Forcecage	Jaula de fuerza
Foresight	Presciencia
Freedom of Movement	Libertad de movimiento
Freezing Sphere	Esfera congelante
Gaseous Form	Forma gaseosa
Gate	Portal
Geas	Geas
Gentle Repose	Dulce descanso
Giant Insect	Insecto gigante
Glibness	Labia
Globe of Invulnerability	Globo de invulnerabilidad
Glyph of Warding	Glifo custodio
Goodberry	Buenas bayas
Grease	Charco de barro
Greater Invisibility	Invisibilidad mejorada
Greater Restoration	Restablecimiento mayor
Guardian of Faith	Guardián de la fe
Guards and Wards	Guardas y guardias
Guidance	Guía
Guiding Bolt	Saeta guía
Gust of Wind	Ráfaga de viento
Hallow	Consagrar
Hallucinatory Terrain	Terreno alucinatorio
Harm	Dañar
Haste	Acelerar
Heal	Curar
Healing Word	Palabra de curación
Heat Metal	Calentar metal
Hellish Rebuke	Reprensión abrasadora
Heroes’ Feast	Festín de héroes
Heroism	Heroísmo
Hex	Maleficio
Hideous Laughter	Risa horrible
Hold Monster	Inmovilizar monstruo
Hold Person	Inmovilizar persona
Holy Aura	Aura sagrada
Hunter’s Mark	Marca del cazador
Hypnotic Pattern	Patrón hipnótico
Ice Knife	Cuchillo de hielo
Ice Storm	Tormenta de hielo
Identify	Identificar
Illusory Script	Texto ilusorio
Imprisonment	Cautiverio
Incendiary Cloud	Nube incendiaria
Inflict Wounds	Infligir heridas
Insect Plague	Plaga de insectos
Instant Summons	Invocación instantánea
Irresistible Dance	Baile irresistible
Invisibility	Invisibilidad
Jump	Salto
Knock	Abrir
Legend Lore	Conocer las leyendas
Lesser Restoration	Restablecimiento menor
