Ether Theft	Hurto etéreo
Dimming	Empañamiento
Etheric Blow	Golpe etéreo
Heave	Envite
Catching Bands	Bandas de sujeción
Ash Storm	Tormenta de ceniza
Steel Thread	Hilo de acero
Vitriol Veil	Velo de vitriolo
Frostbite	Sabañón
Ice Cage	Jaula de hielo
Ice Lance	Lanza de hielo
Lightning Arc	Arco eléctrico
Charged Skin	Piel cargada
Wall of Sound	Muro de sonido
Piercing Shriek	Chillido lacerante
Scouring Wind	Viento abrasivo
Pitch Ball	Bola de pez
Corrosive Touch	Toque corrosivo
Cinder Rain	Lluvia de rescoldo
Sands of Time	Arenas del tiempo
Held Years	Años retenidos
Anticipate Peril	Anticipar el peligro
Shadow Step	Paso de sombra
Echolocation	Ecolocalización
Steal Voice	Robar la voz
Tangled Tongue	Lengua trabada
Share Memory	Compartir un recuerdo
Interrogation	Interrogatorio
Witness	Testigo
Overwhelming Grief	Duelo desbordante
Oppressive Boredom	Hastío
Terrible Remorse	Remordimiento atroz
Murderous Command	Orden homicida
Forbid Action	Prohibir un acto
Loathsome Veil	Velo repugnante
Ghostly Disguise	Disfraz espectral
Shadow Weapon	Arma de sombra
Fungal Bloom	Florecer de hongos
Upright Beast	Bestia erguida
Burst of Nettles	Estallido de ortigas
Delay Pain	Aplazar el dolor
Diagnose Illness	Diagnosticar el mal
Howling Agony	Agonía aullante
Scald	Escaldadura
Boiler	Caldera
Steam Vent	Bocanada
White Brand	Marca blanca
Incandescent Lance	Lanza incandescente
White Heat	Al rojo blanco
Shrapnel	Metralla
Reading	Lectura
Ward Against Working	Guarda contra operación
Clear Air	Aire despejado
Bleed the Star	Sangrar la Estrella
Unpick	Descoser
Leaden Step	Paso de plomo
Well	Pozo
Downward	Abajo
Sidestep	Quite
Swap	Permuta
Staunch	Restañar
Halt	Detención
Borrowed Voice	Voz prestada
Disguise Another	Disfrazar a otro
Mist of Old Griefs	Bruma de duelos viejos
Fixation	Fijación
Serenity	Serenidad
Infatuation	Encaprichamiento
Outrage	Saña
Contempt	Desprecio
Rapture	Arrebato
Waves of Ecstasy	Oleadas de éxtasis
Sharpened Senses	Sentidos afilados
Hush	Sordina
Countless Eyes	Ojos sin cuento
Know the Enemy	Conocer al enemigo
Soothe the Fever	Aplacar la fiebre
Shrug Off	Sobreponerse
Fever	Calentura
Unshakable Chill	Frío que no se quita
Wracking	Descoyuntar
The Slow Stop	La parada lenta
Borrowed Ferocity	Fiereza prestada
Atavism	Atavismo
Thicket	Espesura
Bough Hammer	Martillo de rama
